,emoji,name,edit,origin
993,🎃,jack-o-lantern,잭-오-랜턴,Gek-O-Lincern.
994,🎄,Christmas tree,크리스마스 트리,크리스마스 트리
995,🎆,fireworks,불꽃놀이,불꽃
996,🎇,sparkler,불꽃,빛나는 것
997,🧨,firecracker,다이너마이트,폭죽
998,✨,sparkles,반짝임,반짝임
999,🎈,balloon,풍선,풍선
1000,🎉,party popper,축하 폭죽,파티 포퍼
1001,🎊,confetti ball,박터트리기,색종이 공
1002,🎋,tanabata tree,소원을 건 나무,타나 바타 나무
1003,🎍,pine decoration,소나무 장식,소나무 장식
1004,🎎,Japanese dolls,일본인 인형,일본인 인형
1005,🎏,carp streamer,물고기 깃발,잉어 유영자
1006,🎐,wind chime,풍경,바람 차임
1007,🎑,moon viewing ceremony,달맞이,달 보기식
1008,🧧,red envelope,빨간 봉투,빨간 봉투
1009,🎀,ribbon,리본,리본
1010,🎁,wrapped gift,포장 된 선물,포장 된 선물
1011,🎗,reminder ribbon,노란 리본,알림 리본
1012,🎟,admission tickets,입장권,입장권
1013,🎫,ticket,티켓,티켓
1014,🎖,military medal,훈장,군사 메달
1015,🏆,trophy,트로피,트로피
1016,🏅,sports medal,스포츠 메달,스포츠 메달
1017,🥇,1st place medal,금메달,1 위 메달
1018,🥈,2nd place medal,은메달,2 위 메달
1019,🥉,3rd place medal,동메달,제 3 회 메달
1020,⚽,soccer ball,축구공,축구 공
1021,⚾,baseball,야구공,야구
1022,🥎,softball,소프트볼공,소프트볼
1023,🏀,basketball,농구공,농구
1024,🏐,volleyball,배구공,배구
1025,🏈,american football,미식 축구공,미식 축구
1026,🏉,rugby football,럭비 축구공,럭비 축구
1027,🎾,tennis,테니스 공,테니스
1028,🥏,flying disc,원반,비행 디스크
1029,🎳,bowling,볼링공 핀,볼링
1030,🏏,cricket game,크리켓 게임,크리켓 게임
1031,🏑,field hockey,필드 하키,필드 하키
1032,🏒,ice hockey,아이스 하키,아이스 하키
1033,🥍,lacrosse,라크로스,라크로스
1034,🏓,ping pong,탁구,탁구
1035,🏸,badminton,배드민턴,배드민턴
1036,🥊,boxing glove,권투 글러브,권투 글러브
1037,🥋,martial arts uniform,무술 유니폼,무술 유니폼
1038,🥅,goal net,목표 그물,목표 그물
1039,⛳,flag in hole,구멍에 깃발,구멍에 깃발
1040,⛸,ice skate,아이스 스케이트,아이스 스케이트
1041,🎣,fishing pole,낚시대,낚시대
1042,🤿,diving mask,다이빙 마스크,다이빙 마스크
1043,🎽,running shirt,러닝 셔츠,셔츠를 러닝
1044,🎿,skis,스키,스키
1045,🛷,sled,썰매,~ 후에
1046,🥌,curling stone,컬링 돌,컬링 돌
1047,🎯,bullseye,과녁 다트,황소의 눈
1048,🪀,yo-yo,요요,요
1049,🪁,kite,연,연
1050,🎱,pool 8 ball,포켓볼 공,수영장 8 공
1051,🔮,crystal ball,크리스탈 공,크리스탈 볼
1052,🪄,magic wand,마법의지팡이,마법의 지팡이
1053,🧿,nazar amulet,악마의 눈,멍청이를 알아라
1054,🎮,video game,비디오 게임,비디오 게임
1055,🕹,joystick,조이스틱,조종간
1056,🎰,slot machine,슬롯 머신,슬롯 머신
1057,🎲,game die,주사위,게임 Die.
1058,🧩,puzzle piece,퍼즐 조각,퍼즐 조각
1059,🧸,teddy bear,테디 베어,테디 베어
1060,🪅,piñata,피냐타,피냐아
1061,🪆,nesting dolls,마트료시카 인형,인형 중첩
1062,♠,spade suit,스페이드,스페이드 슈트
1063,♥,heart suit,검정색 하트,심장 정장
1064,♦,diamond suit,검정색 다이아몬드,다이아몬드 슈트
1065,♣,club suit,검정색 클로버,클럽 슈트
1066,♟,chess pawn,체스 폰,체스 폰
1067,🃏,joker,조커,조커
1068,🀄,mahjong red dragon,마작,마작 레드 드래곤
1069,🎴,flower playing cards,화투,꽃 카드 놀이
1070,🎭,performing arts,가면,공연 예술
1071,🖼,framed picture,액자 그림,액자 그림
1072,🎨,artist palette,팔레트,아티스트 팔레트
1073,🧵,thread,실,실
1074,🪡,sewing needle,재봉 바늘,재봉 바늘
1075,🧶,yarn,털뭉치,실
1076,🪢,knot,매듭,매듭
1077,👓,glasses,안경,안경
1078,🕶,sunglasses,선글라스,색안경
1079,🥽,goggles,고글,고글
1080,🥼,lab coat,실험복,실험복
1081,🦺,safety vest,안전 조끼,안전 조끼
1082,👔,necktie,넥타이,넥타이
1083,👕,t-shirt,티셔츠,티셔츠
1084,👖,jeans,청바지,청바지
1085,🧣,scarf,스카프,스카프
1086,🧤,gloves,장갑,장갑
1087,🧥,coat,코트,코트
1088,🧦,socks,양말,양말
1089,👗,dress,드레스,드레스
1090,👘,kimono,기모노,키모노
1091,🥻,sari,인도 여성 전통의상 사리,사리
1092,🩱,one-piece swimsuit,원피스 수영복,원피스 수영복
1093,🩲,briefs,삼각 팬티,적요
1094,🩳,shorts,반바지,반바지
1095,👙,bikini,비키니,비키니
1096,👚,woman’s clothes,여자 티셔츠,여자의 옷
1097,👛,purse,지갑,지갑
1098,👜,handbag,핸드백,핸드백
1099,👝,clutch bag,클러치 백,클러치 백
1100,🛍,shopping bags,쇼핑백,쇼핑백
1101,🎒,backpack,배낭,배낭
1102,🩴,thong sandal,쪼리,끈 팬티
1103,👞,man’s shoe,남자 구두,남자의 신발
1104,👟,running shoe,러닝 신발,러닝 슈즈
1105,🥾,hiking boot,등산화,하이킹 부팅
1106,🥿,flat shoe,플랫 신발,플랫 신발
1107,👠,high-heeled shoe,하이힐,높은 굽의 구두
1108,👡,woman’s sandal,여성 샌들,여성 샌들
1109,🩰,ballet shoes,발레 슈즈,발레 슈즈
1110,👢,woman’s boot,여자 부츠,여자의 부츠
1111,👑,crown,왕관,왕관
1112,👒,woman’s hat,여자 모자,여자의 모자
1113,🎩,top hat,모자,모자
1114,🎓,graduation cap,졸업 모자 학사모,졸업 모자
1115,🧢,billed cap,야구 모자,청구 된 캡
1116,🪖,military helmet,군용 헬멧,군사 헬멧
1117,⛑,rescue worker’s helmet,구조 작업자 헬멧,구조 작업자의 헬멧
1118,📿,prayer beads,묵주,기도 구슬
1119,💄,lipstick,립스틱,립스틱
1120,💍,ring,반지,반지
1121,💎,gem stone,다이아몬드,보석 돌
1122,🔇,muted speaker,음소거 된 스피커,음소거 된 스피커
1123,🔈,speaker low volume,스피커 낮은 볼륨,Speaker Low Volume
1124,🔉,speaker medium volume,스피커 중간 볼륨,스피커 중간 볼륨
1125,🔊,speaker high volume,스피커 높은 볼륨,스피커 높은 볼륨
1126,📢,loudspeaker,확성기,확성기
1127,📣,megaphone,메가폰,메가폰
1128,📯,postal horn,호른,우편 경적
1129,🔔,bell,벨,벨
1130,🔕,bell with slash,음소거 벨,벨 슬래시
1131,🎼,musical score,높은음 자리표,뮤지컬 점수
1132,🎵,musical note,잇단 음표,음표
1133,🎶,musical notes,8분 음표 여러개,뮤지컬 악보
1134,🎙,studio microphone,스튜디오 마이크,스튜디오 마이크
1135,🎚,level slider,레벨 슬라이더 이퀄라이저,레벨 슬라이더
1136,🎛,control knobs,제어 노브,제어 노브
1137,🎤,microphone,마이크,마이크로폰
1138,🎧,headphone,헤드폰,헤드폰
1139,📻,radio,라디오,라디오
1140,🎷,saxophone,색소폰,색소폰
1141,🪗,accordion,아코디언,아코디언
1142,🎸,guitar,일렉 기타,기타
1143,🎹,musical keyboard,건반,뮤지컬 키보드
1144,🎺,trumpet,트럼펫,트럼펫
1145,🎻,violin,바이올린,바이올린
1146,🪕,banjo,밴조,밴조
1147,🥁,drum,북,북
1148,🪘,long drum,긴 드럼,긴 드럼
1149,📱,mobile phone,휴대 전화,휴대 전화
1150,📲,mobile phone with arrow,화살표가있는 휴대 전화,화살표가있는 휴대 전화
1151,☎,telephone,전화,전화
1152,📞,telephone receiver,전화 수신기,전화 수신기
1153,📟,pager,휴대용 소형 무선 호출기,휴대용 소형 무선 호출기
1154,📠,fax machine,팩스,팩스
1155,🔋,battery,배터리,배터리
1156,🔌,electric plug,전기 플러그,전기 플러그
1157,💻,laptop,노트북,노트북
1158,🖥,desktop computer,데스크탑 컴퓨터,데스크탑 컴퓨터
1159,🖨,printer,인쇄기,인쇄기
1160,⌨,keyboard,컴퓨터 키보드,건반
1161,🖱,computer mouse,컴퓨터 마우스,컴퓨터 마우스
1162,🖲,trackball,트랙볼,트랙볼
1163,💽,computer disk,컴퓨터 디스크,컴퓨터 디스크
1164,💾,floppy disk,플로피 디스크,플로피 디스크
1165,💿,optical disk,광 디스크,광 디스크
1166,📀,dvd,DVD,DVD
1167,🧮,abacus,주판,주판
1168,🎥,movie camera,영화 카메라,영화 카메라
1169,🎞,film frames,필름 프레임,필름 프레임
1170,📽,film projector,필름 프로젝터,필름 프로젝터
1171,🎬,clapper board,클래퍼 보드,클래퍼 보드
1172,📺,television,텔레비전,텔레비전
1173,📷,camera,필름 카메라,카메라
1174,📸,camera with flash,플래시가있는 필름 카메라,플래시가있는 카메라
1175,📹,video camera,비디오 카메라,비디오 카메라
1176,📼,videocassette,비디오 카세트,비디오 카세트
1177,🔍,magnifying glass tilted left,왼쪽으로 기울인 돋보기,돋보기가 왼쪽으로 기울어졌습니다
1178,🔎,magnifying glass tilted right,오른쪽으로 기울인 돋보기,돋보기는 오른쪽으로 기울어졌습니다
1179,🕯,candle,양초,양초
1180,💡,light bulb,전구,전구
1181,🔦,flashlight,플래시,플래시
1182,🏮,red paper lantern,빨간 종이 랜턴,빨간 종이 랜턴
1183,🪔,diya lamp,기름 램프,램프를 주었다
1184,📔,notebook with decorative cover,장식된 공책,장식 커버와 함께 노트북
1185,📕,closed book,닫혀있는 공책,폐쇄 된 책
1186,📖,open book,펴져있는 공책,책 공개 시험
1187,📗,green book,녹색 공책,녹색 책
1188,📘,blue book,파란색 공책,블루 책
1189,📙,orange book,주황색 공책,오렌지 책
1190,📚,books,서적,서적
1191,📓,notebook,검정색 공책,공책
1192,📒,ledger,장부,원장
1193,📃,page with curl,아래 말려있는 종이,컬이있는 페이지
1194,📜,scroll,위 아래 말려있는 종이,스크롤
1195,📄,page facing up,오른쪽이 접혀있는 종이,페이지가 마주 치는 페이지
1196,📰,newspaper,신문,신문
1197,🗞,rolled-up newspaper,말린 신문,롤업 된 신문
1198,📑,bookmark tabs,북마크,북마크 탭
1199,🔖,bookmark,책갈피,서표
1200,🏷,label,상표,상표
1201,💰,money bag,돈 가방,돈 가방
1202,🪙,coin,동전,동전
1203,💴,yen banknote,엔 지폐,엔 은행권
1204,💵,dollar banknote,달러 지폐,달러 은행권
1205,💶,euro banknote,유로 지폐,유로 은행권
1206,💷,pound banknote,파운드 지폐,파운드 지폐
1207,💸,money with wings,날개가있는 지폐,날개가있는 돈
1208,💳,credit card,신용 카드,신용 카드
1209,🧾,receipt,영수증,영수증
1210,💹,chart increasing with yen,증가 차트 엔,차트가 엔으로 증가합니다
1211,✉,envelope,봉투,봉투
1212,📧,e-mail,이메일,이메일
1213,📨,incoming envelope,들어오는 봉투,들어오는 봉투
1214,📩,envelope with arrow,들어오는 화살표 봉투,화살표가있는 봉투
1215,📤,outbox tray,보낸 편지함,outbox 트레이
1216,📥,inbox tray,받은 편지함,받은 편지함 트레이
1217,📦,package,포장 상자,패키지
1218,📫,closed mailbox with raised flag,표지가 올라간 닫힌 우편함,제기 된 플래그가있는 닫힌 사서함
1219,📪,closed mailbox with lowered flag,표지가 내려간 닫힌 우편함,낮은 플래그가있는 닫힌 사서함
1220,📬,open mailbox with raised flag,표지가 올라간 열린 우편함,제기 된 플래그로 사서함을 엽니 다
1221,📭,open mailbox with lowered flag,표지가 내려간 열린 우편함,낮은 플래그로 사서함을 엽니 다
1222,📮,postbox,빨간 우편함,게시물 상자
1223,🗳,ballot box with ballot,투표 용지 상자,투표 용지 상자
1224,✏,pencil,연필,연필
1225,✒,black nib,검정 만연필 촉,흑인
1226,🖋,fountain pen,만년필,만년필
1227,🖊,pen,펜,펜
1228,🖌,paintbrush,붓,화필
1229,🖍,crayon,크레용,크레용
1230,📝,memo,메모,메모
1231,💼,briefcase,서류 가방,서류 가방
1232,📁,file folder,파일 폴더,파일 폴더
1233,📂,open file folder,열린 파일 폴더,파일 폴더를 엽니 다
1234,🗂,card index dividers,카드 색인 분배기,카드 색인 분배기
1235,📅,calendar,달력,달력
1236,📆,tear-off calendar,찢긴 달력,티셔츠 캘린더
1237,🗒,spiral notepad,나선철 제본 공책,나선형 메모장
1238,🗓,spiral calendar,나선철 제본 달력,나선형 캘린더
1239,📇,card index,카드 색인,카드 색인
1240,📈,chart increasing,차트 증가,차트 증가
1241,📉,chart decreasing,차트 감소,차트 감소
1242,📊,bar chart,막대 차트,막대 차트
1243,📋,clipboard,클립 보드,클립 보드
1244,📌,pushpin,각진 압정,푸시 핀
1245,📍,round pushpin,둥근 압정,라운드 압정
1246,📎,paperclip,클립,클립
1247,🖇,linked paperclips,연결된 클립,링크 된 클라이즈 클립
1248,📏,straight ruler,직선 자,스트레이트 룰러
1249,📐,triangular ruler,삼각형 눈금자,삼각형 눈금자
1250,✂,scissors,가위,가위
1251,🗃,card file box,카드 상자,카드 파일 상자
1252,🗄,file cabinet,서랍,파일 캐비닛
1253,🗑,wastebasket,휴지통,폐기물 건설
1254,🔒,locked,자물쇠 잠김,갇혀있다
1255,🔓,unlocked,자물쇠 열림,잠금 해제
1256,🔏,locked with pen,자물쇠 잠김 펜,펜으로 잠겨 있습니다
1257,🔐,locked with key,자물쇠 열림 열쇠,키로 잠겨 있습니다
1258,🔑,key,열쇠,열쇠
1259,🗝,old key,오래 된 열쇠,오래 된 키
1260,🔨,hammer,망치,망치
1261,🪓,axe,도끼,도끼
1262,⛏,pick,곡괭이,선택하다
1263,⚒,hammer and pick,망치 곡괭이,망치와 픽업
1264,🛠,hammer and wrench,망치 랜치,망치와 렌치
1265,🗡,dagger,단검,단검
1266,⚔,crossed swords,교차된 칼,교차 칼
1267,🔫,water pistol,물총,물 권총
1268,🪃,boomerang,부메랑,부메랑
1269,🏹,bow and arrow,활과 화살,활과 화살
1270,🛡,shield,방패,방패
1271,🪚,carpentry saw,목공 톱,목공 톱
1272,🔧,wrench,랜치,렌치
1273,🪛,screwdriver,드라이버,드라이버
1274,🔩,nut and bolt,너트와 볼트,너트와 볼트
1275,⚙,gear,기어,기어
1276,🗜,clamp,클램프,집게
1277,⚖,balance scale,저울,균형 규모
1278,🦯,white cane,흰색 지팡이,화이트 지팡이
1279,🔗,link,링크,링크
1280,⛓,chains,쇠사슬,쇠사슬
1281,🪝,hook,훅,훅
1282,🧰,toolbox,공구 상자,공구 상자
1283,🧲,magnet,자석,자석
1284,🪜,ladder,사다리,사다리
1285,⚗,alembic,증류기,증류기
1286,🧪,test tube,시험관,시험관
1287,🧫,petri dish,페트리 접시,페트리 접시
1288,🧬,dna,유전자,DNA.
1289,🔬,microscope,현미경,현미경
1290,🔭,telescope,망원경,망원경
1291,📡,satellite antenna,위성 안테나,위성 안테나
1292,💉,syringe,주사기,주사기
1293,🩸,drop of blood,피 방울,피를 떨어 뜨린다
1294,💊,pill,알약,알약
1295,🩹,adhesive bandage,반창고,접착 붕대
1296,🩺,stethoscope,청진기,청진기
1297,🚪,door,문,문
1298,🛗,elevator,엘리베이터,엘리베이터
1299,🪞,mirror,거울,거울
1300,🪟,window,창문,창문
1301,🛏,bed,침대,침대
1302,🛋,couch and lamp,소파와 램프,소파와 램프
1303,🪑,chair,의자,의자
1304,🚽,toilet,화장실,화장실
1305,🪠,plunger,플런저,플런저
1306,🚿,shower,샤워,샤워
1307,🛁,bathtub,욕조,목욕통
1308,🪤,mouse trap,쥐덫,마우스 트랩
1309,🪒,razor,면도칼,면도칼
1310,🧴,lotion bottle,로션 병,로션 병
1311,🧷,safety pin,안전 핀,안전핀
1312,🧹,broom,빗자루,비
1313,🧺,basket,바구니,바구니
1314,🧻,roll of paper,종이 롤,종이 롤
1315,🪣,bucket,양동이,버킷
1316,🧼,soap,비누,비누
1317,🪥,toothbrush,칫솔,칫솔
1318,🧽,sponge,스펀지,스펀지
1319,🧯,fire extinguisher,소화기,소화기
1320,🛒,shopping cart,쇼핑 카트,쇼핑 카트
1321,🚬,cigarette,담배,담배
1322,⚰,coffin,관,관
1323,🪦,headstone,주춧돌,주춧돌
1324,⚱,funeral urn,납골 단지,장례식 Urn.
1325,🗿,moai,모아이,모아이
1326,🪧,placard,플랜카드,방
1327,🏧,ATM sign,ATM 표시,ATM 서명
1328,🚮,litter in bin sign,쓰레기 버리는 표시,빈 기호에 쓰레기
1329,🚰,potable water,수도꼭지,식물
1330,♿,wheelchair symbol,휠체어 표시,휠체어 기호입니다
1331,🚹,men’s room,남자 화장실,남자 화장실
1332,🚺,women’s room,여자 화장실 ,여성용 방
1333,🚻,restroom,사람 모양 화장실 표시,화장실
1334,🚼,baby symbol,아기 표기,아기 기호
1335,🚾,water closet,WC 화장실 표시,화장실
1336,🛂,passport control,여권 통제 표시,여권 통제
1337,🛃,customs,세관,세관
1338,🛄,baggage claim,수하물 수취 표시,수하물 주장
1339,🛅,left luggage,잃어버린 수하물,짐 짐 수하물
1340,⚠,warning,경고,경고
1341,🚸,children crossing,어린이 횡단,어린이 횡단
1342,⛔,no entry,출입 금지,출입 불가
1343,🚫,prohibited,금지,금지되어있다
1344,🚳,no bicycles,자전거 진입 금지,자전거가 없습니다
1345,🚭,no smoking,금연,금연
1346,🚯,no littering,쓰레기 금지,쓰레기가 없어
1347,🚱,non-potable water,물 마시기 금지,비정용 물
1348,🚷,no pedestrians,보행자 금지,보행자가 없습니다
1349,📵,no mobile phones,전화 금지,휴대 전화가 없습니다
1350,🔞,no one under eighteen,18세 미만 금지,18 세 미만 아무도 없어
1351,☢,radioactive,방사능,방사능
1352,☣,biohazard,생물재해,바이오 하자드
1353,⬆,up arrow,위쪽 화살표,위쪽 화살표
1354,↗,up-right arrow,오른쪽 화살표,오른쪽 화살표
1355,➡,right arrow,오른쪽 화살표,오른쪽 화살표
1356,↘,down-right arrow,오른쪽 아래 화살표,아래쪽 화살표
1357,⬇,down arrow,아래쪽 화살표,아래쪽 화살표
1358,↙,down-left arrow,왼쪽 아래 화살표,왼쪽 아래 왼쪽 화살표
1359,⬅,left arrow,왼쪽 화살표,왼쪽 화살표
1360,↖,up-left arrow,왼쪽 위 화살표,위쪽 화살표
1361,↕,up-down arrow,위아래 화살표,위쪽 화살표
1362,↔,left-right arrow,오른쪽 왼쪽 화살표,왼쪽 오른쪽 화살표
1363,↩,right arrow curving left,왼쪽으로 꺾인 오른쪽 화살표,오른쪽 화살표 곡선 왼쪽
1364,↪,left arrow curving right,오른쪽으로 꺾인 왼쪽 화살표,왼쪽 화살표 커브 오른쪽
1365,⤴,right arrow curving up,위쪽으로 꺾인 오른쪽 화살표,오른쪽 화살표가 커브
1366,⤵,right arrow curving down,아래쪽으로 꺾인 오른쪽 화살표,오른쪽 화살표가 커브
1367,🔃,clockwise vertical arrows,시계 방향 수직 화살표,시계 방향으로 수직 화살표
1368,🔄,counterclockwise arrows button,반 시계 방향 화살표 버튼,반 시계 방향 화살표 단추
1369,🔙,BACK arrow,back 써있는 왼쪽 화살표,뒤 화살표
1370,🔚,END arrow,end 써있는 왼쪽 화살표,끝 화살
1371,🔛,ON! arrow,on 써있는 양방향 화살표,에!화살
1372,🔜,SOON arrow,soon 써있는 오른쪽 화살표,곧 화살표
1373,🔝,TOP arrow,Top 써있는 위쪽 화살표,상단 화살표
1374,🛐,place of worship,예배 장소,예배 장소
1375,⚛,atom symbol,원소 기호,원자 기호
1376,🕉,om,옴 기호,만약
1377,✡,star of David,다윗의 별,데이비드의 별
1378,☸,wheel of dharma,법륜,Dharma의 바퀴
1379,☯,yin yang,음양,음과 양
1380,✝,latin cross,라틴 십자가,라틴어 크로스
1381,☦,orthodox cross,정통 십자가,정통 십자가
1382,☪,star and crescent,별과 초승달,스타와 초승달
1383,☮,peace symbol,평화 상징,평화 상징
1384,🕎,menorah,메노라,메 노라
1385,🔯,dotted six-pointed star,육각별,점선 된 여섯 개의 스타
1386,♈,Aries,양 자리,양자리
1387,♉,Taurus,황소 자리,토러스
1388,♊,Gemini,쌍둥이 자리,쌍둥이 자리
1389,♋,Cancer,게 자리,암
1390,♌,Leo,사자 자리,사자 별자리
1391,♍,Virgo,처녀 자리,처녀 자리
1392,♎,Libra,천칭 자리,천칭
1393,♏,Scorpio,천갈궁 자리,천갈궁
1394,♐,Sagittarius,궁수 자리,궁수
1395,♑,Capricorn,염소 자리,염소 자리
1396,♒,Aquarius,물병 자리,물병 자리
1397,♓,Pisces,물고기 자리,생선
1398,⛎,Ophiuchus,뱀 주인 자리,ophiuchus.
1399,🔀,shuffle tracks button,랜덤 재생 버튼,셔플 트랙 버튼
1400,🔁,repeat button,반복 버튼,반복 단추
1401,🔂,repeat single button,단일 반복 버튼,단일 버튼을 반복하십시오
1402,▶,play button,재생 버튼,재생 버튼
1403,⏩,fast-forward button,빨리 감기 버튼,빨리 감기 버튼
1404,⏭,next track button,다음 트랙 버튼,다음 트랙 버튼
1405,⏯,play or pause button,재생 또는 일시 중지 버튼,재생 또는 일시 중지 버튼
1406,◀,reverse button,되감기 버튼,역방향 버튼
1407,⏪,fast reverse button,빠른 되감기 버튼,빠른 역방향 버튼
1408,⏮,last track button,마지막 트랙 버튼,마지막 트랙 버튼
1409,🔼,upwards button,위쪽 버튼,위쪽 버튼
1410,⏫,fast up button,빨리 올리기 버튼,빠른 버튼
1411,🔽,downwards button,아래쪽 버튼,아래쪽 버튼
1412,⏬,fast down button,빨리 내리기 버튼,빠른 버튼
1413,⏸,pause button,일시 중지 버튼,일시 중지 버튼
1414,⏹,stop button,중지 버튼,중지 버튼
1415,⏺,record button,기록 버튼,기록 버튼
1416,⏏,eject button,꺼냄 버튼,탈출 버튼
1417,🎦,cinema,영화,영화
1418,🔅,dim button,희미한 버튼,희미한 버튼
1419,🔆,bright button,밝은 버튼,밝은 버튼
1420,📶,antenna bars,안테나 신호,안테나 바
1421,📳,vibration mode,진동 모드,진동 모드
1422,📴,mobile phone off,휴대 전화 끄기,휴대 전화 끄기
1423,♀,female sign,여성 기호,여성 서명
1424,♂,male sign,남성 기호,남성 서명
1425,⚧,transgender symbol,트랜스 젠더 기호,트랜스 젠더 기호
1426,✖,multiply,곱하기,곱하다
1427,➕,plus,더하기,...을 더한
1428,➖,minus,빼기,마이너스
1429,➗,divide,나누기,나누기
1430,♾,infinity,무한대,무한대
1431,‼,double exclamation mark,이중 느낌표,이중 느낌표 마크
1432,⁉,exclamation question mark,느낌표 물음표,느낌표 물음표
1433,❓,red question mark,빨간색 물음표,빨간색 물음표
1434,❔,white question mark,흰색 물음표,흰색 물음표
1435,❕,white exclamation mark,흰색 느낌표,흰색 느낌표 마크
1436,❗,red exclamation mark,빨간 느낌표,빨간 느낌표
1437,〰,wavy dash,물결표,물결 모양의 대시
1438,💱,currency exchange,환전소,환전소
1439,💲,heavy dollar sign,달려 표시,무거운 달러 기호입니다
1440,⚕,medical symbol,의학 기호,의료 기호
1441,♻,recycling symbol,재활용 기호,재활용 기호
1442,⚜,fleur-de-lis,백합 문장,꽃
1443,🔱,trident emblem,삼지창,트라이던트 엠블럼
1444,📛,name badge,이름 배지,이름 배지
1445,🔰,Japanese symbol for beginner,일본 초보 표시,초급에 대한 일본어 상징
1446,⭕,hollow red circle,빨간색 원,중공 레드 서클
1447,✅,check mark button,확인 표시 버은,확인 표시 버튼
1448,☑,check box with check,체크 박스,확인란의 확인란
1449,✔,check mark,체크 표시,체크 표시
1450,❌,cross mark,엑스 표시,크로스 마크
1451,❎,cross mark button,엑스 표시 버튼,크로스 마크 버튼
1452,➰,curly loop,말린 고리,곱슬 루프
1453,➿,double curly loop,이중 말린 고리,이중 곱슬 루프
1454,〽,part alternation mark,부분 교체,파트 교대 마크
1455,✳,eight-spoked asterisk,여덟 갈래 별표,8 스포크 된 별표
1456,✴,eight-pointed star,여덟 개 별표,8 개의 스타
1457,❇,sparkle,불꽃,불꽃
1458,©,copyright,저작권,저작권
1459,®,registered,등기,등기
1460,™,trade mark,상표,상표
1461,#️⃣,keycap: #,키 캡 : #,Keycap : #
1462,*️⃣,keycap: *,키 캡 : *,키 캡 : *
1463,0️⃣,keycap: 0,키 캡 : 0.,Keycap : 0.
1464,1️⃣,keycap: 1,키 캡 : 1.,키 캡 : 1.
1465,2️⃣,keycap: 2,키 캡 : 2.,Keycap : 2.
1466,3️⃣,keycap: 3,키 캡 : 3.,Keycap : 3.
1467,4️⃣,keycap: 4,키 캡 : 4.,Keycap : 4.
1468,5️⃣,keycap: 5,키 캡 : 5.,Keycap : 5.
1469,6️⃣,keycap: 6,키 캡 : 6.,Keycap : 6.
1470,7️⃣,keycap: 7,키 캡 : 7.,Keycap : 7.
1471,8️⃣,keycap: 8,키 캡 : 8.,Keycap : 8.
1472,9️⃣,keycap: 9,키 캡 : 9.,Keycap : 9.
1473,🔟,keycap: 10,키 캡 : 10.,Keycap : 10.
1474,🔠,input latin uppercase,라틴어 대문자 입력,라틴어 대문자 입력
1475,🔡,input latin lowercase,라틴어 소문자 입력,라틴어 소문자를 입력합니다
1476,🔢,input numbers,입력 번호,입력 번호
1477,🔣,input symbols,입력 기호,입력 기호
1478,🔤,input latin letters,라틴 문자 입력,라틴 문자 입력
1479,🅰,A button (blood type),A형 혈액형,버튼 (혈액형)
1480,🆎,AB button (blood type),AB형 혈액형,AB 버튼 (혈액형)
1481,🅱,B button (blood type),B형 혈액형,B 버튼 (혈액형)
1482,🆑,CL button,CL 버튼,CL 버튼
1483,🆒,COOL button,COOL 버튼,멋진 버튼
1484,🆓,FREE button,무료 버튼,무료 버튼
1485,ℹ,information,정보,정보
1486,🆔,ID button,아이디 버튼,ID 버튼
1487,Ⓜ,circled M,원형 M,원형 M.
1488,🆕,NEW button,NEW 버튼,새 버튼
1489,🆖,NG button,NG 버튼,버튼의.
1490,🅾,O button (blood type),O형 혈액형,O 버튼 (혈액형)
1491,🆗,OK button,확인 버튼,확인 버튼
1492,🅿,P button,P 버튼,P 버튼
1493,🆘,SOS button,SOS 버튼,SOS 버튼
1494,🆙,UP! button,UP! 버튼,위로!단추
1495,🆚,VS button,VS 버튼,VS 버튼
1496,🈁,Japanese “here” button,"일본어 ""여기""버튼","일본어 ""여기""버튼"
1497,🈂,Japanese “service charge” button,"일본어 ""서비스 요금""버튼","일본어 ""서비스 요금""버튼"
1498,🈷,Japanese “monthly amount” button,"일본어 ""월별 금액""버튼","일본어 ""월별 금액""버튼"
1499,🈶,Japanese “not free of charge” button,"일본어 ""무료 없음""버튼","일본어 ""무료 없음""버튼"
1500,🈯,Japanese “reserved” button,"일본어 ""예약""버튼","일본어 ""예약""버튼"
1501,🉐,Japanese “bargain” button,"일본어 ""바겐 세일""버튼","일본어 ""바겐 세일""버튼"
1502,🈹,Japanese “discount” button,"일본어 ""할인""버튼","일본어 ""할인""버튼"
1503,🈚,Japanese “free of charge” button,"일본어 ""무료 무료""버튼","일본어 ""무료 무료""버튼"
1504,🈲,Japanese “prohibited” button,"일본어 ""금지 된""버튼","일본어 ""금지 된""버튼"
1505,🉑,Japanese “acceptable” button,"일본어 ""수락 가능""버튼","일본어 ""수락 가능""버튼"
1506,🈸,Japanese “application” button,"일본어 ""응용 프로그램""버튼","일본어 ""응용 프로그램""버튼"
1507,🈴,Japanese “passing grade” button,"일본어 ""패스 등급""버튼을","일본어 ""패스 등급""버튼을"
1508,🈳,Japanese “vacancy” button,"일본어 ""공석""버튼","일본어 ""공석""버튼"
1509,㊗,Japanese “congratulations” button,"일본어 ""축하""버튼","일본어 ""축하""버튼"
1510,㊙,Japanese “secret” button,"일본어 ""비밀""버튼","일본어 ""비밀""버튼"
